userId,movieId,rating,timestamp
655,1208,4.5,1487685647
1300,3182,4.0,966620117
909,3300,1.5,1316226031
858,2353,3.5,1325451348
2710,2858,4.0,1349486876
1050,6947,3.0,1453657035
1411,59018,3.5,1488649915
2862,7163,3.5,1092013914
39,25,3.0,859534406
2524,82459,3.5,1316499222
3068,837,4.0,867135475
1975,140816,4.5,1457738322
1514,88129,4.0,1615028864
1360,86142,3.5,1487531180
640,37386,4.0,1225302486
2769,225145,4.0,1683229100
511,2761,4.0,992717679
1766,1093,3.0,1234969456
864,1882,2.0,1236398846
1512,2863,2.0,939917264
1953,4734,4.0,1002248551
1269,1183,5.0,1167306190
1114,3434,5.0,992631873
468,4638,3.0,1000458353
2958,4878,5.0,1612031547
740,8529,4.0,1098206307
28,3786,2.0,1011208551
1035,6663,4.0,1309806910
2792,97225,3.0,1592120380
1667,94864,3.5,1671002736
504,2259,2.0,927644075
1681,2028,4.0,1315173326
1485,2324,5.0,1472561487
503,1615,5.0,1599442653
1152,114662,4.5,1473347180
2810,65514,4.5,1267148753
2875,3913,4.0,988218511
884,34048,3.5,1676210126
2914,986,3.0,849450960
1713,1,4.0,1596586841
2225,342,2.0,992919211
268,139088,3.0,1582131552
1617,1721,5.0,1147481457
2031,519,3.5,1242502302
1928,131739,3.5,1511518269
1208,2730,5.0,1354495938
974,1566,4.0,951541763
2064,4030,3.0,1448164404
536,597,1.5,1111589310
863,206857,4.0,1595717295
1677,68954,3.5,1361888781
1522,58559,4.0,1476805396
1411,3034,3.5,1323610465
2639,1584,3.5,1490541287
618,59615,5.0,1440516198
1515,4016,3.5,1257133434
1688,166528,4.0,1652818549
3122,1584,3.0,913280853
3014,648,4.0,860447008
1474,1207,5.0,949362534
2780,915,4.0,938528692
2489,4022,3.0,1498418546
1817,919,4.0,944936427
668,1247,3.5,1192101216
886,56174,4.5,1199335833
627,1136,3.0,945026484
1831,3685,4.0,975416764
1071,6888,0.5,1235185607
1048,2180,3.5,1619382218
3198,1022,4.0,947570771
359,2324,5.0,974766765
1638,70,2.0,976206413
3148,51255,4.5,1398326151
827,103372,4.0,1558145203
2799,6934,3.5,1252732250
1866,48774,5.0,1604958942
162,1029,3.0,1351378948
2023,615,4.0,840891333
1522,38095,2.0,1615750351
2945,5898,2.5,1085793238
1861,6764,3.0,1536444859
138,2167,3.0,1116392133
680,3107,3.0,1006977163
1784,63082,4.0,1503628157
